job title,job link
Team Lead,https://in.linkedin.com/jobs/view/team-lead-at-amazon-3056772409?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=30HATiCUmYGkQyI8kPHWCQ%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
"Social Media Specialist, Operations Internal Communications",https://www.linkedin.com/jobs/view/social-media-specialist-operations-internal-communications-at-amazon-3032752704?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=0rgjpfZCNSo0ah5R88Hx%2Fw%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
Associate Marketing Specialist,https://in.linkedin.com/jobs/view/associate-marketing-specialist-at-amazon-3032468003?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=%2BQl3SPhIuFv3slnrBEMglA%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3044650813?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=h9F8UbeNEhLYX1%2BkwBEWtA%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3044651695?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=VjEXOGBAN6sxx42nE3O8EQ%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3044652703?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=l72lcg8g9MoAJMe3s0Lslw%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3044654506?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=KbRYcRwnkzi8SQhqX3iSFQ%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3044657051?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=481NH65EPLdgmvW5%2FkYCOA%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
Production Planning Analyst,https://in.linkedin.com/jobs/view/production-planning-analyst-at-amazon-3036334375?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=W071S2gpZN7ht8O6cunsnQ%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior Business Operations Manager,https://in.linkedin.com/jobs/view/senior-business-operations-manager-at-amazon-3042400825?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=ge1En9wC8Oqe8Y1976F8Jg%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
"Brand Strategist, Amazon Ads",https://www.linkedin.com/jobs/view/brand-strategist-amazon-ads-at-amazon-3036335412?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=6Mq66fwHurnR3%2BOG2wfyDA%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
"Production Planning Analyst, Production Planning Team",https://in.linkedin.com/jobs/view/production-planning-analyst-production-planning-team-at-amazon-3036334307?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=DaGuG9I0C%2Bc7T%2BZM8lpbJw%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
